COGid	FunCat	Funk	Species	Genes	Alg.-Conn.	BGE	BGIGA	BOR	BPAA	BPLAN	CPUbr	MADAR
COG0596	HR	Pimeloyl-ACP_methyl_ester_carboxylesterase	7	7	0.888	BGE:CDS:BGE_I00810	BGIGA:CDS:BGIGA_I05470	BOR:CDS:BOR_I00820	BPAA:CDS:BPAA_I05520	BPLAN:CDS:BPLAN_I05600	CPUbr:CDS:CPUbr_I00730	MADAR:CDS:MADAR_I05250
COG0571	K	dsRNA-specific_ribonuclease	7	7	0.700	BGE:CDS:BGE_I00800	BGIGA:CDS:BGIGA_I05480	BOR:CDS:BOR_I00810	BPAA:CDS:BPAA_I05530	BPLAN:CDS:BPLAN_I05610	CPUbr:CDS:CPUbr_I00720	MADAR:CDS:MADAR_I05260
COG0304	IQ	3-oxoacyl-(acyl-carrier-protein)_synthase	7	7	0.870	BGE:CDS:BGE_I00790	BGIGA:CDS:BGIGA_I05490	BOR:CDS:BOR_I00800	BPAA:CDS:BPAA_I05540	BPLAN:CDS:BPLAN_I05620	CPUbr:CDS:CPUbr_I00710	MADAR:CDS:MADAR_I05270
COG0020	I	Undecaprenyl_pyrophosphate_synthase	7	7	0.779	BGE:CDS:BGE_I00870	BGIGA:CDS:BGIGA_I05410	BOR:CDS:BOR_I00880	BPAA:CDS:BPAA_I05470	BPLAN:CDS:BPLAN_I05540	CPUbr:CDS:CPUbr_I00790	MADAR:CDS:MADAR_I05190
COG1866	C	Phosphoenolpyruvate_carboxykinase,_ATP-dependent	7	7	0.849	BGE:CDS:BGE_I00770	BGIGA:CDS:BGIGA_I05510	BOR:CDS:BOR_I00780	BPAA:CDS:BPAA_I05560	BPLAN:CDS:BPLAN_I05640	CPUbr:CDS:CPUbr_I00690	MADAR:CDS:MADAR_I05290
COG0307	H	Riboflavin_synthase_alpha_chain	7	7	0.705	BGE:CDS:BGE_I00760	BGIGA:CDS:BGIGA_I05520	BOR:CDS:BOR_I00770	BPAA:CDS:BPAA_I05570	BPLAN:CDS:BPLAN_I05650	CPUbr:CDS:CPUbr_I00680	MADAR:CDS:MADAR_I05300
COG1995	H	4-hydroxy-L-threonine_phosphate_dehydrogenase_PdxA	7	7	0.852	BGE:CDS:BGE_I00750	BGIGA:CDS:BGIGA_I05530	BOR:CDS:BOR_I00760	BPAA:CDS:BPAA_I05580	BPLAN:CDS:BPLAN_I05660	CPUbr:CDS:CPUbr_I00670	MADAR:CDS:MADAR_I05310
COG0355	C	FoF1-type_ATP_synthase,_epsilon_subunit	7	7	0.523	BGE:CDS:BGE_I00740	BGIGA:CDS:BGIGA_I05540	BOR:CDS:BOR_I00750	BPAA:CDS:BPAA_I05590	BPLAN:CDS:BPLAN_I05670	CPUbr:CDS:CPUbr_I00660	MADAR:CDS:MADAR_I05320
COG0055	C	FoF1-type_ATP_synthase,_beta_subunit	7	7	0.858	BGE:CDS:BGE_I00730	BGIGA:CDS:BGIGA_I05550	BOR:CDS:BOR_I00740	BPAA:CDS:BPAA_I05600	BPLAN:CDS:BPLAN_I05680	CPUbr:CDS:CPUbr_I00650	MADAR:CDS:MADAR_I05330
COG0196	H	FAD_synthase	7	7	0.688	BGE:CDS:BGE_I00720	BGIGA:CDS:BGIGA_I05560	BOR:CDS:BOR_I00730	BPAA:CDS:BPAA_I05610	BPLAN:CDS:BPLAN_I05690	CPUbr:CDS:CPUbr_I00640	MADAR:CDS:MADAR_I05340
No-Hit	-	hypothetical	7	7	0.488	BGE:CDS:BGE_I00710	BGIGA:CDS:BGIGA_I05570	BOR:CDS:BOR_I00720	BPAA:CDS:BPAA_I05620	BPLAN:CDS:BPLAN_I05700	CPUbr:PPgene:CPUbr_I00630	MADAR:CDS:MADAR_I05350
COG0473	CE	Isocitrate/isopropylmalate_dehydrogenase	5	5	0.797	BGE:CDS:BGE_I00700	BGIGA:CDS:BGIGA_I05580	BOR:CDS:BOR_I00710	BPAA:CDS:BPAA_I05630	BPLAN:CDS:BPLAN_I05710	*	*
COG1071	C	TPP-dependent_pyruvate_or_acetoin_dehydrogenase_subunit_alpha	7	7	0.865	BGE:CDS:BGE_I00990	BGIGA:CDS:BGIGA_I05290	BOR:CDS:BOR_I01000	BPAA:CDS:BPAA_I05350	BPLAN:CDS:BPLAN_I05430	CPUbr:CDS:CPUbr_I00910	MADAR:CDS:MADAR_I05080
COG0184	J	Ribosomal_protein_S15P/S13E	7	7	0.856	BGE:CDS:BGE_I01080	BGIGA:CDS:BGIGA_I05200	BOR:CDS:BOR_I01090	BPAA:CDS:BPAA_I05260	BPLAN:CDS:BPLAN_I05340	CPUbr:CDS:CPUbr_I01000	MADAR:CDS:MADAR_I04990
COG1185	J	Polyribonucleotide_nucleotidyltransferase_(polynucleotide_phosphorylase)	7	7	0.826	BGE:CDS:BGE_I01070	BGIGA:CDS:BGIGA_I05210	BOR:CDS:BOR_I01080	BPAA:CDS:BPAA_I05270	BPLAN:CDS:BPLAN_I05350	CPUbr:CDS:CPUbr_I00990	MADAR:CDS:MADAR_I05000
COG0568	K	DNA-directed_RNA_polymerase,_sigma_subunit_(sigma70/sigma32)	7	7	0.970	BGE:CDS:BGE_I01060	BGIGA:CDS:BGIGA_I05220	BOR:CDS:BOR_I01070	BPAA:CDS:BPAA_I05280	BPLAN:CDS:BPLAN_I05360	CPUbr:CDS:CPUbr_I00980	MADAR:CDS:MADAR_I05010
COG0149	G	Triosephosphate_isomerase	7	7	0.764	BGE:CDS:BGE_I01040	BGIGA:CDS:BGIGA_I05240	BOR:CDS:BOR_I01050	BPAA:CDS:BPAA_I05300	BPLAN:CDS:BPLAN_I05380	CPUbr:CDS:CPUbr_I00960	MADAR:CDS:MADAR_I05030
No-Hit	-	hypothetical	7	7	0.394	BGE:CDS:BGE_I01030	BGIGA:CDS:BGIGA_I05250	BOR:CDS:BOR_I01040	BPAA:CDS:BPAA_I05310	BPLAN:CDS:BPLAN_I05390	CPUbr:CDS:CPUbr_I00950	MADAR:CDS:MADAR_I05040
COG0294	H	Dihydropteroate_synthase	7	7	0.763	BGE:CDS:BGE_I01020	BGIGA:CDS:BGIGA_I05260	BOR:CDS:BOR_I01030	BPAA:CDS:BPAA_I05320	BPLAN:CDS:BPLAN_I05400	CPUbr:CDS:CPUbr_I00940	MADAR:CDS:MADAR_I05050
COG1624	T	Diadenylate_cyclase_(c-di-AMP_synthetase),_DisA_N_domain	7	7	0.890	BGE:CDS:BGE_I01010	BGIGA:CDS:BGIGA_I05270	BOR:CDS:BOR_I01020	BPAA:CDS:BPAA_I05330	BPLAN:CDS:BPLAN_I05410	CPUbr:CDS:CPUbr_I00930	MADAR:CDS:MADAR_I05060
COG0770	M	UDP-N-acetylmuramyl_pentapeptide_synthase	7	7	0.707	BGE:CDS:BGE_I01000	BGIGA:CDS:BGIGA_I05280	BOR:CDS:BOR_I01010	BPAA:CDS:BPAA_I05340	BPLAN:CDS:BPLAN_I05420	CPUbr:PPgene:CPUbr_I00920	MADAR:CDS:MADAR_I05070
COG0692	L	Uracil_DNA_glycosylase	5	5	0.714	BGE:CDS:BGE_I01460	BGIGA:CDS:BGIGA_I04820	BOR:CDS:BOR_I01490	BPAA:CDS:BPAA_I04880	BPLAN:CDS:BPLAN_I04940	*	*
COG0508	C	Pyruvate/2-oxoglutarate_dehydrogenase_complex,_dihydrolipoamide_acyltransferase_(E2)_component	7	7	0.720	BGE:CDS:BGE_I00980	BGIGA:CDS:BGIGA_I05300	BOR:CDS:BOR_I00990	BPAA:CDS:BPAA_I05360	BPLAN:CDS:BPLAN_I05440	CPUbr:CDS:CPUbr_I00900	MADAR:CDS:MADAR_I05090
COG0861	P	Membrane_protein_TerC,_possibly_involved_in_tellurium_resistance	7	7	0.608	BGE:CDS:BGE_I00970	BGIGA:CDS:BGIGA_I05310	BOR:CDS:BOR_I00980	BPAA:CDS:BPAA_I05370	BPLAN:CDS:BPLAN_I05450	CPUbr:CDS:CPUbr_I00890	MADAR:CDS:MADAR_I05100
COG0342	U	Preprotein_translocase_subunit_SecD	6	6	0.602	BGE:CDS:BGE_I00950	BGIGA:CDS:BGIGA_I05330	BOR:CDS:BOR_I00960	BPAA:CDS:BPAA_I05390	BPLAN:CDS:BPLAN_I05460	CPUbr:CDS:CPUbr_I00870	*
No-Hit	-	hypothetical	7	7	0.620	BGE:CDS:BGE_I00940	BGIGA:CDS:BGIGA_I05340	BOR:CDS:BOR_I00950	BPAA:CDS:BPAA_I05400	BPLAN:CDS:BPLAN_I05470	CPUbr:CDS:CPUbr_I00860	MADAR:CDS:MADAR_I05130
No-Hit	-	hypothetical	7	7	0.655	BGE:CDS:BGE_I00930	BGIGA:CDS:BGIGA_I05350	BOR:CDS:BOR_I00940	BPAA:CDS:BPAA_I05410	BPLAN:CDS:BPLAN_I05480	CPUbr:CDS:CPUbr_I00850	MADAR:CDS:MADAR_I05140
COG1253	R	Hemolysin_or_related_protein,_contains_CBS_domains	7	7	0.741	BGE:CDS:BGE_I00920	BGIGA:CDS:BGIGA_I05360	BOR:CDS:BOR_I00930	BPAA:CDS:BPAA_I05420	BPLAN:CDS:BPLAN_I05490	CPUbr:CDS:CPUbr_I00840	MADAR:CDS:MADAR_I05150
No-Hit	-	hypothetical	7	7	0.718	BGE:CDS:BGE_I00890	BGIGA:CDS:BGIGA_I05390	BOR:CDS:BOR_I00900	BPAA:CDS:BPAA_I05450	BPLAN:CDS:BPLAN_I05520	CPUbr:CDS:CPUbr_I00810	MADAR:CDS:MADAR_I05170
COG4775	M	Outer_membrane_protein_assembly_factor_BamA	7	7	0.484	BGE:CDS:BGE_I00880	BGIGA:CDS:BGIGA_I05400	BOR:CDS:BOR_I00890	BPAA:CDS:BPAA_I05460	BPLAN:CDS:BPLAN_I05530	CPUbr:CDS:CPUbr_I00800	MADAR:CDS:MADAR_I05180
COG0217	KJ	Transcriptional_and/or_translational_regulatory_protein_YebC/TACO1	7	7	0.636	BGE:CDS:BGE_I05210	BGIGA:CDS:BGIGA_I01140	BOR:CDS:BOR_I05220	BPAA:CDS:BPAA_I01130	BPLAN:CDS:BPLAN_I01160	CPUbr:CDS:CPUbr_I04880	MADAR:CDS:MADAR_I02450
COG0445	J	tRNA_U34_5-carboxymethylaminomethyl_modifying_enzyme_MnmG/GidA	7	7	0.824	BGE:CDS:BGE_I05300	BGIGA:CDS:BGIGA_I01050	BOR:CDS:BOR_I05300	BPAA:CDS:BPAA_I01040	BPLAN:CDS:BPLAN_I01070	CPUbr:CDS:CPUbr_I04970	MADAR:CDS:MADAR_I02540
COG0319	J	ssRNA-specific_RNase_YbeY,_16S_rRNA_maturation_enzyme	7	7	0.657	BGE:CDS:BGE_I05290	BGIGA:CDS:BGIGA_I01060	BOR:CDS:BOR_I05290	BPAA:CDS:BPAA_I01050	BPLAN:CDS:BPLAN_I01080	CPUbr:CDS:CPUbr_I04960	MADAR:CDS:MADAR_I02530
COG1183	I	Phosphatidylserine_synthase	7	7	0.587	BGE:CDS:BGE_I05280	BGIGA:CDS:BGIGA_I01070	BOR:CDS:BOR_I05280	BPAA:CDS:BPAA_I01060	BPLAN:CDS:BPLAN_I01090	CPUbr:CDS:CPUbr_I04950	MADAR:CDS:MADAR_I02520
COG0847	L	DNA_polymerase_III,_epsilon_subunit_or_related_3'-5'_exonuclease	7	7	0.875	BGE:CDS:BGE_I05270	BGIGA:CDS:BGIGA_I01080	BOR:CDS:BOR_I05270	BPAA:CDS:BPAA_I01070	BPLAN:CDS:BPLAN_I01100	CPUbr:CDS:CPUbr_I04940	MADAR:CDS:MADAR_I02510
COG0326	O	Molecular_chaperone,_HSP90_family	7	7	0.735	BGE:CDS:BGE_I05260	BGIGA:CDS:BGIGA_I01090	BOR:CDS:BOR_I05260	BPAA:CDS:BPAA_I01080	BPLAN:CDS:BPLAN_I01110	CPUbr:CDS:CPUbr_I04930	MADAR:CDS:MADAR_I02500
COG0552	U	Signal_recognition_particle_GTPase	7	7	0.733	BGE:CDS:BGE_I05250	BGIGA:CDS:BGIGA_I01100	BOR:CDS:BOR_I05250	BPAA:CDS:BPAA_I01090	BPLAN:CDS:BPLAN_I01120	CPUbr:CDS:CPUbr_I04920	MADAR:CDS:MADAR_I02490
No-Hit	-	hypothetical	6	6	0.828	BGE:CDS:BGE_I05240	BGIGA:CDS:BGIGA_I01110	*	BPAA:CDS:BPAA_I01100	BPLAN:CDS:BPLAN_I01130	CPUbr:CDS:CPUbr_I04910	MADAR:CDS:MADAR_I02480
No-Hit	-	hypothetical	7	7	0.806	BGE:CDS:BGE_I05230	BGIGA:CDS:BGIGA_I01120	BOR:CDS:BOR_I05240	BPAA:CDS:BPAA_I01110	BPLAN:CDS:BPLAN_I01140	CPUbr:CDS:CPUbr_I04900	MADAR:CDS:MADAR_I02470
COG0227	J	Ribosomal_protein_L28	7	7	0.833	BGE:CDS:BGE_I05220	BGIGA:CDS:BGIGA_I01130	BOR:CDS:BOR_I05230	BPAA:CDS:BPAA_I01120	BPLAN:CDS:BPLAN_I01150	CPUbr:CDS:CPUbr_I04890	MADAR:CDS:MADAR_I02460
COG0114	C	Fumarate_hydratase_class_II	7	7	0.841	BGE:CDS:BGE_I05320	BGIGA:CDS:BGIGA_I01030	BOR:CDS:BOR_I05320	BPAA:CDS:BPAA_I01020	BPLAN:CDS:BPLAN_I01050	CPUbr:CDS:CPUbr_I04990	MADAR:CDS:MADAR_I02560
COG1322	L	DNA_anti-recombination_protein_(rearrangement_mutator)_RmuC	7	7	0.775	BGE:CDS:BGE_I05180	BGIGA:CDS:BGIGA_I01170	BOR:CDS:BOR_I05190	BPAA:CDS:BPAA_I01160	BPLAN:CDS:BPLAN_I01190	CPUbr:CDS:CPUbr_I04850	MADAR:CDS:MADAR_I02420
COG1158	K	Transcription_termination_factor_Rho	7	7	0.792	BGE:CDS:BGE_I05160	BGIGA:CDS:BGIGA_I01190	BOR:CDS:BOR_I05170	BPAA:CDS:BPAA_I01180	BPLAN:CDS:BPLAN_I01210	CPUbr:CDS:CPUbr_I04830	MADAR:CDS:MADAR_I02400
No-Hit	-	hypothetical	7	7	0.379	BGE:CDS:BGE_I05150	BGIGA:CDS:BGIGA_I01200	BOR:CDS:BOR_I05160	BPAA:CDS:BPAA_I01190	BPLAN:CDS:BPLAN_I01220	CPUbr:CDS:CPUbr_I04820	MADAR:CDS:MADAR_I02390
COG0216	J	Protein_chain_release_factor_A	7	7	0.764	BGE:CDS:BGE_I05140	BGIGA:CDS:BGIGA_I01210	BOR:CDS:BOR_I05150	BPAA:CDS:BPAA_I01200	BPLAN:CDS:BPLAN_I01230	CPUbr:CDS:CPUbr_I04810	MADAR:CDS:MADAR_I02380
COG0439	I	Biotin_carboxylase	7	7	0.829	BGE:CDS:BGE_I05130	BGIGA:CDS:BGIGA_I01220	BOR:CDS:BOR_I05140	BPAA:CDS:BPAA_I01210	BPLAN:CDS:BPLAN_I01240	CPUbr:CDS:CPUbr_I04800	MADAR:CDS:MADAR_I02370
COG0511	HI	Biotin_carboxyl_carrier_protein	7	7	0.639	BGE:CDS:BGE_I05120	BGIGA:CDS:BGIGA_I01230	BOR:CDS:BOR_I05130	BPAA:CDS:BPAA_I01220	BPLAN:CDS:BPLAN_I01250	CPUbr:CDS:CPUbr_I04790	MADAR:CDS:MADAR_I02360
No-Hit	-	hypothetical	7	7	0.641	BGE:CDS:BGE_I05110	BGIGA:CDS:BGIGA_I01240	BOR:CDS:BOR_I05120	BPAA:CDS:BPAA_I01230	BPLAN:CDS:BPLAN_I01260	CPUbr:CDS:CPUbr_I04780	MADAR:CDS:MADAR_I02350
COG0442	J	Prolyl-tRNA_synthetase	7	7	0.810	BGE:CDS:BGE_I05100	BGIGA:CDS:BGIGA_I01250	BOR:CDS:BOR_I05110	BPAA:CDS:BPAA_I01240	BPLAN:CDS:BPLAN_I01270	CPUbr:CDS:CPUbr_I04770	MADAR:CDS:MADAR_I02340
COG0054	H	6,7-dimethyl-8-ribityllumazine_synthase_(Riboflavin_synthase_beta_chain)	7	7	0.747	BGE:CDS:BGE_I05430	BGIGA:CDS:BGIGA_I00920	BOR:CDS:BOR_I05420	BPAA:CDS:BPAA_I00910	BPLAN:CDS:BPLAN_I00950	CPUbr:CDS:CPUbr_I05100	MADAR:CDS:MADAR_I02670
COG0129	EG	Dihydroxyacid_dehydratase/phosphogluconate_dehydratase	4	4	0.971	BGE:CDS:BGE_I05530	BGIGA:CDS:BGIGA_I00820	*	BPAA:CDS:BPAA_I00810	BPLAN:CDS:BPLAN_I00830	*	*
COG0028	EH	Acetolactate_synthase_large_subunit_or_other_thiamine_pyrophosphate-requiring_enzyme	5	5	0.901	BGE:CDS:BGE_I05520	BGIGA:CDS:BGIGA_I00830	BOR:CDS:BOR_I05520	BPAA:CDS:BPAA_I00820	BPLAN:CDS:BPLAN_I00840	*	*
No-Hit	-	hypothetical	5	5	0.577	BGE:CDS:BGE_I05510	BGIGA:CDS:BGIGA_I00840	BOR:CDS:BOR_I05510	BPAA:CDS:BPAA_I00830	BPLAN:CDS:BPLAN_I00850	*	*
COG0059	EH	Ketol-acid_reductoisomerase	5	5	0.880	BGE:CDS:BGE_I05500	BGIGA:CDS:BGIGA_I00850	BOR:CDS:BOR_I05500	BPAA:CDS:BPAA_I00840	BPLAN:CDS:BPLAN_I00860	*	*
COG1171	E	Threonine_dehydratase	5	5	0.904	BGE:CDS:BGE_I05490	BGIGA:CDS:BGIGA_I00860	BOR:CDS:BOR_I05490	BPAA:CDS:BPAA_I00850	BPLAN:CDS:BPLAN_I00870	*	*
COG0289	E	Dihydrodipicolinate_reductase	7	7	0.766	BGE:CDS:BGE_I05470	BGIGA:CDS:BGIGA_I00880	BOR:CDS:BOR_I05460	BPAA:CDS:BPAA_I00870	BPLAN:CDS:BPLAN_I00910	CPUbr:CDS:CPUbr_I05140	MADAR:CDS:MADAR_I02710
COG0681	U	Signal_peptidase_I	7	7	0.668	BGE:CDS:BGE_I05460	BGIGA:CDS:BGIGA_I00890	BOR:CDS:BOR_I05450	BPAA:CDS:BPAA_I00880	BPLAN:CDS:BPLAN_I00920	CPUbr:CDS:CPUbr_I05130	MADAR:CDS:MADAR_I02700
COG0705	O	Membrane_associated_serine_protease,_rhomboid_family	7	7	0.855	BGE:CDS:BGE_I05450	BGIGA:CDS:BGIGA_I00900	BOR:CDS:BOR_I05440	BPAA:CDS:BPAA_I00890	BPLAN:CDS:BPLAN_I00930	CPUbr:CDS:CPUbr_I05120	MADAR:CDS:MADAR_I02690
COG0323	L	DNA_mismatch_repair_ATPase_MutL	7	7	0.715	BGE:CDS:BGE_I05440	BGIGA:CDS:BGIGA_I00910	BOR:CDS:BOR_I05430	BPAA:CDS:BPAA_I00900	BPLAN:CDS:BPLAN_I00940	CPUbr:CDS:CPUbr_I05110	MADAR:CDS:MADAR_I02680
COG0167	F	Dihydroorotate_dehydrogenase	7	7	0.739	BGE:CDS:BGE_I05090	BGIGA:CDS:BGIGA_I01260	BOR:CDS:BOR_I05100	BPAA:CDS:BPAA_I01250	BPLAN:CDS:BPLAN_I01280	CPUbr:CDS:CPUbr_I04760	MADAR:CDS:MADAR_I02330
No-Hit	-	hypothetical	7	7	0.777	BGE:CDS:BGE_I05420	BGIGA:CDS:BGIGA_I00930	BOR:CDS:BOR_I05410	BPAA:CDS:BPAA_I00920	BPLAN:CDS:BPLAN_I00960	CPUbr:CDS:CPUbr_I05090	MADAR:CDS:MADAR_I02660
COG1253	R	Hemolysin_or_related_protein,_contains_CBS_domains	7	7	0.834	BGE:CDS:BGE_I05410	BGIGA:CDS:BGIGA_I00940	BOR:CDS:BOR_I05400	BPAA:CDS:BPAA_I00930	BPLAN:CDS:BPLAN_I00970	CPUbr:CDS:CPUbr_I05080	MADAR:CDS:MADAR_I02650
COG1194	L	Adenine-specific_DNA_glycosylase,_acts_on_AG_and_A-oxoG_pairs	7	7	0.675	BGE:CDS:BGE_I05400	BGIGA:CDS:BGIGA_I00950	BOR:CDS:BOR_I05390	BPAA:CDS:BPAA_I00940	BPLAN:CDS:BPLAN_I00980	CPUbr:CDS:CPUbr_I05070	MADAR:CDS:MADAR_I02640
COG0776	L	Bacterial_nucleoid_DNA-binding_protein	7	7	0.916	BGE:CDS:BGE_I05390	BGIGA:CDS:BGIGA_I00960	BOR:CDS:BOR_I05380	BPAA:CDS:BPAA_I00950	BPLAN:CDS:BPLAN_I00990	CPUbr:CDS:CPUbr_I05060	MADAR:CDS:MADAR_I02630
COG1530	J	Ribonuclease_G_or_E	7	7	0.787	BGE:CDS:BGE_I05380	BGIGA:CDS:BGIGA_I00970	BOR:CDS:BOR_I05370	BPAA:CDS:BPAA_I00960	BPLAN:CDS:BPLAN_I01000	CPUbr:CDS:CPUbr_I05050	MADAR:CDS:MADAR_I02620
No-Hit	-	hypothetical	7	7	0.691	BGE:CDS:BGE_I05350	BGIGA:CDS:BGIGA_I01000	BOR:CDS:BOR_I05350	BPAA:CDS:BPAA_I00990	BPLAN:CDS:BPLAN_I01020	CPUbr:CDS:CPUbr_I05020	MADAR:CDS:MADAR_I02590
COG0331	I	Malonyl_CoA-acyl_carrier_protein_transacylase	7	7	0.752	BGE:CDS:BGE_I05340	BGIGA:CDS:BGIGA_I01010	BOR:CDS:BOR_I05340	BPAA:CDS:BPAA_I01000	BPLAN:CDS:BPLAN_I01030	CPUbr:CDS:CPUbr_I05010	MADAR:CDS:MADAR_I02580
COG0084	N	Tat_protein_secretion_system_quality_control_protein_TatD_(DNase_activity)	7	7	0.748	BGE:CDS:BGE_I05330	BGIGA:CDS:BGIGA_I01020	BOR:CDS:BOR_I05330	BPAA:CDS:BPAA_I01010	BPLAN:CDS:BPLAN_I01040	CPUbr:CDS:CPUbr_I05000	MADAR:CDS:MADAR_I02570
COG0299	F	Folate-dependent_phosphoribosylglycinamide_formyltransferase_PurN	7	7	0.721	BGE:CDS:BGE_I04770	BGIGA:CDS:BGIGA_I01570	BOR:CDS:BOR_I04770	BPAA:CDS:BPAA_I01620	BPLAN:CDS:BPLAN_I01620	CPUbr:CDS:CPUbr_I04460	MADAR:CDS:MADAR_I02020
COG0496	L	Broad_specificity_polyphosphatase_and_5'/3'-nucleotidase_SurE	7	7	0.836	BGE:CDS:BGE_I04860	BGIGA:CDS:BGIGA_I01480	BOR:CDS:BOR_I04860	BPAA:CDS:BPAA_I01530	BPLAN:CDS:BPLAN_I01530	CPUbr:CDS:CPUbr_I04550	MADAR:CDS:MADAR_I02110
COG2255	L	Holliday_junction_resolvasome_RuvABC,_ATP-dependent_DNA_helicase_subunit	7	7	0.860	BGE:CDS:BGE_I04850	BGIGA:CDS:BGIGA_I01490	BOR:CDS:BOR_I04850	BPAA:CDS:BPAA_I01540	BPLAN:CDS:BPLAN_I01540	CPUbr:CDS:CPUbr_I04540	MADAR:CDS:MADAR_I02100
COG0104	F	Adenylosuccinate_synthase	7	7	0.795	BGE:CDS:BGE_I04840	BGIGA:CDS:BGIGA_I01500	BOR:CDS:BOR_I04840	BPAA:CDS:BPAA_I01550	BPLAN:CDS:BPLAN_I01550	CPUbr:CDS:CPUbr_I04530	MADAR:CDS:MADAR_I02090
COG0015	F	Adenylosuccinate_lyase	7	7	0.871	BGE:CDS:BGE_I04830	BGIGA:CDS:BGIGA_I01510	BOR:CDS:BOR_I04830	BPAA:CDS:BPAA_I01560	BPLAN:CDS:BPLAN_I01560	CPUbr:CDS:CPUbr_I04520	MADAR:CDS:MADAR_I02080
COG0046	F	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_synthetase_domain	7	7	0.717	BGE:CDS:BGE_I04820	BGIGA:CDS:BGIGA_I01520	BOR:CDS:BOR_I04820	BPAA:CDS:BPAA_I01570	BPLAN:CDS:BPLAN_I01570	CPUbr:CDS:CPUbr_I04510	MADAR:CDS:MADAR_I02070
COG0041	F	Phosphoribosylcarboxyaminoimidazole_(NCAIR)_mutase	7	7	0.712	BGE:CDS:BGE_I04810	BGIGA:CDS:BGIGA_I01530	BOR:CDS:BOR_I04810	BPAA:CDS:BPAA_I01580	BPLAN:CDS:BPLAN_I01580	CPUbr:CDS:CPUbr_I04500	MADAR:CDS:MADAR_I02060
COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide_synthase	7	7	0.721	BGE:CDS:BGE_I04800	BGIGA:CDS:BGIGA_I01540	BOR:CDS:BOR_I04800	BPAA:CDS:BPAA_I01590	BPLAN:CDS:BPLAN_I01590	CPUbr:CDS:CPUbr_I04490	MADAR:CDS:MADAR_I02050
COG0034	F	Glutamine_phosphoribosylpyrophosphate_amidotransferase	7	7	0.862	BGE:CDS:BGE_I04790	BGIGA:CDS:BGIGA_I01550	BOR:CDS:BOR_I04790	BPAA:CDS:BPAA_I01600	BPLAN:CDS:BPLAN_I01600	CPUbr:CDS:CPUbr_I04480	MADAR:CDS:MADAR_I02040
COG0150	F	Phosphoribosylaminoimidazole_(AIR)_synthetase	7	7	0.730	BGE:CDS:BGE_I04780	BGIGA:CDS:BGIGA_I01560	BOR:CDS:BOR_I04780	BPAA:CDS:BPAA_I01610	BPLAN:CDS:BPLAN_I01610	CPUbr:CDS:CPUbr_I04470	MADAR:CDS:MADAR_I02030
COG0793	O	C-terminal_processing_protease_CtpA/Prc,_contains_a_PDZ_domain	7	7	0.698	BGE:CDS:BGE_I04870	BGIGA:CDS:BGIGA_I01470	BOR:CDS:BOR_I04870	BPAA:CDS:BPAA_I01520	BPLAN:CDS:BPLAN_I01520	CPUbr:CDS:CPUbr_I04560	MADAR:CDS:MADAR_I02120
COG0138	F	AICAR_transformylase/IMP_cyclohydrolase_PurH	6	6	0.886	BGE:CDS:BGE_I04760	BGIGA:CDS:BGIGA_I01580	*	BPAA:CDS:BPAA_I01630	BPLAN:CDS:BPLAN_I01630	CPUbr:CDS:CPUbr_I04450	MADAR:CDS:MADAR_I02010
COG0151	F	Phosphoribosylamine-glycine_ligase	7	7	0.774	BGE:CDS:BGE_I04750	BGIGA:CDS:BGIGA_I01590	BOR:CDS:BOR_I04750	BPAA:CDS:BPAA_I01640	BPLAN:CDS:BPLAN_I01640	CPUbr:CDS:CPUbr_I04440	MADAR:CDS:MADAR_I02000
COG0519	F	GMP_synthase,_PP-ATPase_domain/subunit	7	7	0.775	BGE:CDS:BGE_I04740	BGIGA:CDS:BGIGA_I01600	BOR:CDS:BOR_I04740	BPAA:CDS:BPAA_I01650	BPLAN:CDS:BPLAN_I01650	CPUbr:CDS:CPUbr_I04430	MADAR:CDS:MADAR_I01990
COG0777	I	Acetyl-CoA_carboxylase_beta_subunit	7	7	0.889	BGE:CDS:BGE_I04730	BGIGA:CDS:BGIGA_I01610	BOR:CDS:BOR_I04730	BPAA:CDS:BPAA_I01660	BPLAN:CDS:BPLAN_I01660	CPUbr:CDS:CPUbr_I04420	MADAR:CDS:MADAR_I01980
COG0191	G	Fructose/tagatose_bisphosphate_aldolase	7	7	0.840	BGE:CDS:BGE_I04720	BGIGA:CDS:BGIGA_I01620	BOR:CDS:BOR_I04720	BPAA:CDS:BPAA_I01670	BPLAN:CDS:BPLAN_I01670	CPUbr:CDS:CPUbr_I04410	MADAR:CDS:MADAR_I01970
COG1074	L	ATP-dependent_exoDNAse_(exonuclease_V)_beta_subunit_(contains_helicase_and_exonuclease_domains)	7	7	0.687	BGE:CDS:BGE_I04710	BGIGA:CDS:BGIGA_I01630	BOR:CDS:BOR_I04700	BPAA:CDS:BPAA_I01680	BPLAN:CDS:BPLAN_I01690	CPUbr:CDS:CPUbr_I04390	MADAR:CDS:MADAR_I01960
